name;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;min_income;area
Wow! Entire 3 story house in Bangkok,VeeZa,Dusit,13.77537,100.52383,Entire home/apt,2814.0,1.0,271.0,1.0,154.0,2814.0,Central Bangkok;;;;;;;;;;;;
✴✴Colorful Room with Soaring Views in Center BKK✴✴,Evan,Sathon,13.72062,100.54707,Entire home/apt,707.0,1.0,93.0,37.0,346.0,707.0,South Bangkok;;;;;;;;;;;;
Brand New room near Airport Railway,Urcha,Bang Kapi,13.75056,100.60844,Private room,1316.0,5.0,1.0,1.0,364.0,6580.0,East Bangkok;;;;;;;;;;;;
☀ ☼Sky bedroom with a smooth life view☼☀,Evan,Sathon,13.72061,100.54706,Entire home/apt,750.0,1.0,426.0,37.0,344.0,750.0,South Bangkok;;;;;;;;;;;;
Transit DMK & Not far from Impact,NiNew,Lak Si,13.88974,100.56257,Private room,800.0,1.0,27.0,4.0,353.0,800.0,North Bangkok;;;;;;;;;;;;
✬Sweet Dreams in the Center of Bangkok@Sky House✬,Evan,Sathon,13.72062,100.54709,Entire home/apt,693.0,1.0,224.0,37.0,349.0,693.0,South Bangkok;;;;;;;;;;;;
F/F Studio APT For Rent. ARI BTS.,Taweewat  (Ken),Phaya Thai,13.78148,100.54868,Private room,1088.0,2.0,1.0,2.0,365.0,2176.0,Central Bangkok;;;;;;;;;;;;
Big Jacuzzi+BTS/BRT+wifi 100mbps,Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,2000.0,7.0,0.0,19.0,354.0,14000.0,West Bangkok;;;;;;;;;;;;
Cosy 1 bed room service apartment!,Avinash,Din Daeng,13.78777,100.56551,Entire home/apt,866.0,1.0,6.0,1.0,365.0,866.0,Central Bangkok;;;;;;;;;;;;
Hip Luxury Apt in Best Location,Andrew,Parthum Wan,13.74088,100.54102,Entire home/apt,3097.0,12.0,120.0,1.0,54.0,37164.0,Central Bangkok;;;;;;;;;;;;
Mini chic Apartment -BTS S Taksin,Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703.0,1.0,206.0,41.0,355.0,703.0,South Bangkok;;;;;;;;;;;;
2 Bed Serviced Penthouse SkyVillas,Salvatore,Sathon,13.72027,100.52851,Entire home/apt,3757.0,2.0,135.0,7.0,144.0,7514.0,South Bangkok;;;;;;;;;;;;
Chao Phraya Rumors,Fr,Samphanthawong,13.73989,100.50179,Private room,1732.0,5.0,1.0,1.0,365.0,8660.0,Central Bangkok;;;;;;;;;;;;
FABB Modern 4. BTS Sapan Taksin,Wimonpak,Sathon,13.7133,100.51337,Entire home/apt,1100.0,1.0,146.0,41.0,167.0,1100.0,South Bangkok;;;;;;;;;;;;
City heart resort style condo.,Susie,Phaya Thai,13.78064,100.54393,Entire home/apt,1385.0,3.0,7.0,1.0,348.0,4155.0,Central Bangkok;;;;;;;;;;;;
Large cozy Studio in on nut 17,Yair,Suanluang,13.7234,100.61828,Entire home/apt,1212.0,10.0,10.0,10.0,365.0,12120.0,South Bangkok;;;;;;;;;;;;
New & Nice 1 Bed Apt Thonglor BTS,Nulek,Khlong Toei,13.72062,100.58019,Entire home/apt,1732.0,2.0,0.0,1.0,347.0,3464.0,Central Bangkok;;;;;;;;;;;;
Amazing studio in Onnut,Yair,Suanluang,13.72158,100.61654,Entire home/apt,999.0,10.0,11.0,4.0,358.0,9990.0,South Bangkok;;;;;;;;;;;;
Big space in eastern BKK,Anchalee,Bang Kapi,13.75878,100.64988,Entire home/apt,519.0,4.0,1.0,1.0,181.0,2076.0,East Bangkok;;;;;;;;;;;;
Chambre privée en condominium,Arnaud,Khlong Toei,13.73684,100.55488,Private room,1500.0,7.0,0.0,1.0,365.0,10500.0,Central Bangkok;;;;;;;;;;;;
Lovely quaint Bangkok home,Ann,Din Daeng,13.78499,100.56958,Entire home/apt,2000.0,2.0,26.0,1.0,336.0,4000.0,Central Bangkok;;;;;;;;;;;;
